,director_id,director_name
607,1137903,Sam Taylor-Johnson
608,29009,Ken Kwapis
609,5140,Wes Craven
610,52803,Etan Cohen
611,11151,Nick Cassavetes
612,52934,Nicholas Stoller
613,87130,Mark A.Z. Dippé
614,1098477,Callan Brunker
615,41671,Nimród Antal
616,21031,Alejandro Agresti
617,3290,Peter Hedges
618,66548,Paul Weiland
619,6037,Colin Strause
620,6038,Greg Strause
621,6720,Joan Chen
622,54733,Greg Mottola
623,51851,Jake Kasdan
624,3092,Diane Keaton
625,64030,Kelly Makin
626,468,Stephen Daldry
627,25735,Christian Duguay
628,42175,Richard Stanley
629,71570,Justin Chadwick
630,19969,Pat O'Connor
631,50582,Frederik Du Chau
632,11472,Irwin Winkler
633,66823,Joseph Kahn
634,1769,Sofia Coppola
635,56435,Stephen T. Kay
636,51894,Juan Antonio Bayona
637,58251,Elaine May
638,66960,Dennie Gordon
639,56106,Charles Shyer
640,140354,Ulu Grosbard
641,57898,William Malone
642,72024,Malcolm D. Lee
643,52094,Jerry Jameson
644,18889,Mic Rodgers
645,54559,Christian Alvart
646,64909,Jean-Marie Poiré
647,86295,Marc F. Adler
648,86296,Jason Maurer
649,61357,Geoffrey Sax
650,44740,Richard Shepard
651,56739,Peter Chan
652,76812,Raymond Yip Wai-Man
653,71871,Sergei Bodrov Jr.
654,84736,Ivan Passer
655,2689,Jeff Nathanson
656,147021,S.S. Rajamouli
657,17764,Charles S. Dutton
658,21217,Jonathan Lynn
659,2380,David Carson
660,12453,Wong Kar-wai
661,1496406,Yuefeng Song
662,13563,Norman Jewison
663,58178,David Mirkin
664,46085,Luis Mandoki
665,20019,Lee Daniels
666,7671,Jeb Stuart
667,58712,Steve Miner
668,4762,Paul Thomas Anderson
669,33317,David Leland
670,111588,J Blakeson
671,1056121,Ryan Coogler
672,64045,Kirk Jones
673,1224,Ethan Coen
674,66218,Jennifer Flackett
675,66219,Mark Levin
676,19303,Kevin Smith
677,63820,Christian Ditter
678,1270,Charles Martin Smith
679,80999,Fyodor Bondarchuk
680,10930,Irvin Kershner
681,3227,Steve Pink
682,33433,Scott Hicks
683,2632,Chris Rock
684,63571,Wilson Yip
